Name,KOI
Kepler-1470 b,K03330.01
Kepler-1471 b,K03344.02
Kepler-1472 b,K03345.01
Kepler-1473 b,K03346.01
Kepler-1474 b,K03348.01
Kepler-1475 b,K03349.01
Kepler-1476 b,K03352.01
Kepler-1477 b,K03353.01
Kepler-1478 b,K03356.01
Kepler-1479 b,K03363.01
Kepler-148 b,K00398.03
Kepler-148 c,K00398.02
Kepler-148 d,K00398.01
Kepler-1480 A b,K03365.01
Kepler-1481 b,K03370.02
Kepler-1482 b,K03371.02
Kepler-1483 b,K03374.01
Kepler-1484 b,K03379.01
Kepler-1485 b,K03384.02
Kepler-1486 b,K03393.01
Kepler-1487 b,K03398.01
Kepler-1488 b,K03403.01
Kepler-1489 b,K03404.01
Kepler-149 b,K00401.01
Kepler-149 c,K00401.03
Kepler-149 d,K00401.02
Kepler-1490 b,K03407.01
Kepler-1491 b,K03410.01
Kepler-1492 b,K03412.01
Kepler-1493 b,K03415.01
Kepler-1494 b,K03417.01
Kepler-1495 b,K03418.01
Kepler-1496 b,K03428.01
Kepler-1497 b,K03429.02
Kepler-1498 b,K03432.01
Kepler-1499 b,K03436.01
Kepler-15 b,K00128.01
Kepler-150 b,K00408.04
Kepler-150 c,K00408.01
Kepler-150 d,K00408.02
Kepler-150 e,K00408.03
Kepler-1500 b,K03437.01
Kepler-1501 b,K03438.01
Kepler-1502 b,K03439.01
Kepler-1503 b,K03443.01
Kepler-1504 b,K03445.01
Kepler-1505 b,K03456.01
Kepler-1506 b,K03458.01
Kepler-1507 b,K03465.01
Kepler-1508 b,K03468.01
Kepler-1509 b,K03470.02
Kepler-151 b,K00413.01
Kepler-151 c,K00413.02
Kepler-1510 b,K03484.01
Kepler-1511 b,K03496.01
Kepler-1512 b,K03497.01
Kepler-1513 b,K03678.01
Kepler-1514 b,K03681.01
Kepler-1514 c,K03681.02
Kepler-1515 b,K03683.01
Kepler-1516 b,K03685.02
Kepler-1517 b,K03728.01
Kepler-1518 b,K03741.03
Kepler-1519 b,K03762.01
Kepler-152 b,K00416.01
Kepler-152 c,K00416.02
Kepler-1520 b,K03794.01
Kepler-1521 b,K03835.01
Kepler-1522 b,K03848.01
Kepler-1523 b,K03867.01
Kepler-1524 b,K03878.01
Kepler-1525 b,K03892.01
Kepler-1526 b,K03893.01
Kepler-1527 b,K03901.01
Kepler-1528 b,K03911.01
Kepler-1529 b,K03916.01
Kepler-153 b,K00431.01
Kepler-153 c,K00431.02
Kepler-1530 b,K03925.02
Kepler-1530 c,K03925.03
Kepler-1531 b,K03928.01
Kepler-1532 b,K03935.01
Kepler-1533 b,K03946.01
Kepler-1534 b,K03954.02
Kepler-1535 b,K03966.01
Kepler-1536 b,K03975.01
Kepler-1537 b,K03984.01
Kepler-1538 b,K04009.01
Kepler-1539 b,K04015.01
Kepler-154 b,K00435.03
Kepler-154 c,K00435.05
Kepler-154 d,K00435.01
Kepler-154 e,K00435.04
Kepler-154 f,K00435.06
Kepler-1540 A b,K04016.01
Kepler-1541 b,K04024.01
Kepler-1542 b,K04032.01
Kepler-1542 c,K04032.02
Kepler-1542 d,K04032.03
Kepler-1542 e,K04032.04
Kepler-1543 b,K04034.01
Kepler-1544 b,K04036.01
Kepler-1545 b,K04051.01
Kepler-1546 b,K04068.01
Kepler-1547 b,K04072.01
Kepler-1548 b,K04076.01
Kepler-1549 b,K04084.01
Kepler-155 b,K00438.01
Kepler-155 c,K00438.02
Kepler-1550 b,K04091.01
Kepler-1551 b,K04092.01
Kepler-1552 b,K04103.01
Kepler-1553 b,K04117.01
Kepler-1554 b,K04121.01
Kepler-1555 b,K04126.01
Kepler-1556 b,K04127.01
Kepler-1557 b,K04139.01
Kepler-1558 b,K04146.01
Kepler-1559 b,K04159.01
Kepler-156 b,K00440.02
Kepler-156 c,K00440.01
Kepler-1560 b,K04160.01
Kepler-1561 b,K04169.01
Kepler-1562 b,K04189.01
Kepler-1563 b,K04190.01
Kepler-1564 b,K04192.01
Kepler-1565 b,K04194.01
Kepler-1566 b,K04199.01
Kepler-1567 b,K04202.01
Kepler-1568 b,K04204.01
Kepler-1569 b,K04212.01
Kepler-157 b,K00442.02
Kepler-157 c,K00442.01
Kepler-157 d,K00442.03
Kepler-1570 b,K04215.01
Kepler-1571 b,K04222.01
Kepler-1572 b,K04230.01
Kepler-1573 b,K04232.01
Kepler-1574 b,K04234.01
Kepler-1575 b,K04241.01
Kepler-1576 b,K04246.01
Kepler-1577 b,K04255.01
Kepler-1578 b,K04261.01
Kepler-1579 b,K04268.01
Kepler-158 b,K00446.01
Kepler-158 c,K00446.02
Kepler-1580 b,K04276.01
Kepler-1581 b,K04288.01
Kepler-1582 b,K04290.01
Kepler-1583 b,K04292.01
Kepler-1584 b,K04295.01
Kepler-1585 b,K04300.01
Kepler-1586 b,K04301.01
Kepler-1587 b,K04304.01
Kepler-1588 b,K04312.01
Kepler-1589 b,K04327.01
Kepler-159 b,K00448.01
Kepler-159 c,K00448.02
Kepler-1590 b,K04335.01
Kepler-1591 b,K04337.01
Kepler-1592 b,K04347.01
Kepler-1593 b,K04356.01
Kepler-1594 b,K04360.01
Kepler-1595 b,K04364.01
Kepler-1596 b,K04371.01
Kepler-1597 b,K04382.01
Kepler-1598 b,K04383.01
Kepler-1599 b,K04384.01
Kepler-160 b,K00456.02
Kepler-160 c,K00456.01
Kepler-1600 b,K04385.02
Kepler-1601 b,K04400.01
Kepler-1602 b,K04411.01
Kepler-1603 b,K04424.01
Kepler-1604 b,K04441.01
Kepler-1605 b,K04446.01
Kepler-1606 b,K04450.01
Kepler-1607 b,K04473.01
Kepler-1608 b,K04474.01
Kepler-1609 b,K04491.01
Kepler-161 b,K00457.01
Kepler-161 c,K00457.02
Kepler-1610 b,K04500.01
Kepler-1611 b,K04510.01
Kepler-1612 b,K04513.01
Kepler-1613 b,K04561.01
Kepler-1614 b,K04566.01
Kepler-1615 b,K04571.01
Kepler-1616 b,K04585.01
Kepler-1617 b,K04617.01
Kepler-1618 b,K04640.01
Kepler-1619 b,K04693.01
Kepler-162 b,K00459.02
Kepler-162 c,K00459.01
Kepler-1620 b,K04706.01
Kepler-1621 b,K04747.01
Kepler-1622 b,K04765.01
Kepler-1623 b,K04803.01
Kepler-1624 b,K04928.01
Kepler-1625 b,K05084.01
Kepler-1626 b,K05178.01
Kepler-1627 b,K05245.01
Kepler-1628 b,K05416.01
Kepler-1629 b,K05447.02
Kepler-163 b,K00471.02
Kepler-163 c,K00471.01
Kepler-1630 b,K05454.01
Kepler-1631 b,K05466.01
Kepler-1632 b,K05475.01
Kepler-1633 b,K05568.01
Kepler-1634 b,K05581.01
Kepler-1635 b,K05622.01
Kepler-1636 b,K05706.01
Kepler-1637 b,K05827.01
Kepler-1638 b,K05856.01
Kepler-1639 b,K05875.01
Kepler-164 b,K00474.04
Kepler-164 c,K00474.01
Kepler-164 d,K00474.02
